SampleID	Insertions	POP
HG01945	10	PEL
HG01946	0	PEL
HG01947	10	PEL
HG01948	10	PEL
HG01949	0	PEL
HG01950	11	PEL
HG01951	12	PEL
HG01952	0	PEL
HG01953	10	PEL
HG01954	8	PEL
HG01955	0	PEL
HG01961	11	PEL
HG01965	12	PEL
HG01967	12	PEL
HG01968	8	PEL
HG01969	0	PEL
HG01970	10	PEL
HG01971	12	PEL
HG01972	0	PEL
HG01973	10	PEL
HG01974	10	PEL
HG01975	0	PEL
HG01976	10	PEL
HG01977	11	PEL
HG01978	0	PEL
HG01979	11	PEL
HG01980	10	PEL
HG01981	0	PEL
HG01982	11	PEL
HG01983	10	PEL
HG01984	0	PEL
HG01991	11	PEL
HG01992	11	PEL
HG01993	0	PEL
HG01995	0	PEL
HG01997	10	PEL
HG01998	0	PEL
HG02002	11	PEL
HG02003	12	PEL
HG02004	0	PEL
HG02006	10	PEL
HG02008	0	PEL
HG02089	10	PEL
HG02090	12	PEL
HG02091	0	PEL
HG02102	10	PEL
HG02104	12	PEL
HG02105	9	PEL
HG02106	0	PEL
HG02146	12	PEL
HG02147	10	PEL
HG02148	0	PEL
HG02150	10	PEL
HG02252	10	PEL
HG02253	10	PEL
HG02254	0	PEL
HG02259	9	PEL
HG02260	12	PEL
HG02261	0	PEL
HG02262	11	PEL
HG02265	9	PEL
HG02266	11	PEL
HG02267	0	PEL
HG02271	10	PEL
HG02272	12	PEL
HG02273	0	PEL
HG02274	11	PEL
HG02275	9	PEL
HG02276	0	PEL
HG02277	10	PEL
HG02278	10	PEL
HG02279	0	PEL
HG02285	10	PEL
HG02286	10	PEL
HG02287	0	PEL
HG02288	0	PEL
HG02291	9	PEL
HG02292	9	PEL
HG02293	0	PEL
HG02298	11	PEL
HG02299	11	PEL
HG02300	0	PEL
HG02301	13	PEL
HG02302	0	PEL
HG02303	0	PEL
HG02304	11	PEL
HG02312	10	PEL
HG02344	0	PEL
HG02345	11	PEL
HG02347	0	PEL
HG02348	10	PEL
HG02415	0	PEL
HG02425	12	PEL
HG01565	9	PEL
NA19017	10	LWK
NA19019	12	LWK
NA19020	11	LWK
NA19023	14	LWK
NA19024	14	LWK
NA19025	9	LWK
NA19026	12	LWK
NA19027	14	LWK
NA19028	10	LWK
NA19030	15	LWK
NA19031	10	LWK
NA19035	13	LWK
NA19036	10	LWK
NA19037	12	LWK
NA19038	9	LWK
NA19041	13	LWK
NA19042	13	LWK
NA19043	11	LWK
NA19044	0	LWK
NA19046	0	LWK
NA19307	10	LWK
NA19308	11	LWK
NA19309	11	LWK
NA19310	10	LWK
NA19311	13	LWK
NA19312	9	LWK
NA19313	10	LWK
NA19314	12	LWK
NA19315	12	LWK
NA19316	12	LWK
NA19317	8	LWK
NA19318	10	LWK
NA19319	11	LWK
NA19320	13	LWK
NA19321	10	LWK
NA19323	12	LWK
NA19324	12	LWK
NA19327	11	LWK
NA19328	9	LWK
NA19331	11	LWK
NA19332	13	LWK
NA19334	13	LWK
NA19338	0	LWK
NA19346	13	LWK
NA19347	14	LWK
NA19350	12	LWK
NA19351	13	LWK
NA19352	0	LWK
NA19355	13	LWK
NA19359	0	LWK
NA19360	11	LWK
NA19371	0	LWK
NA19372	11	LWK
NA19373	0	LWK
NA19374	13	LWK
NA19375	12	LWK
NA19376	12	LWK
NA19377	11	LWK
NA19378	12	LWK
NA19379	10	LWK
NA19380	13	LWK
NA19381	0	LWK
NA19382	0	LWK
NA19383	11	LWK
NA19384	12	LWK
NA19385	11	LWK
NA19390	14	LWK
NA19391	11	LWK
NA19393	11	LWK
NA19394	12	LWK
NA19395	12	LWK
NA19396	0	LWK
NA19397	12	LWK
NA19398	0	LWK
NA19399	12	LWK
NA19401	12	LWK
NA19403	13	LWK
NA19404	13	LWK
NA19428	13	LWK
NA19429	11	LWK
NA19430	0	LWK
NA19431	11	LWK
NA19432	0	LWK
NA19434	11	LWK
NA19435	12	LWK
NA19436	11	LWK
NA19437	11	LWK
NA19438	10	LWK
NA19439	13	LWK
NA19440	12	LWK
NA19443	11	LWK
NA19444	0	LWK
NA19445	12	LWK
NA19446	12	LWK
NA19448	10	LWK
NA19449	11	LWK
NA19451	10	LWK
NA19452	12	LWK
NA19453	0	LWK
NA19454	11	LWK
NA19455	12	LWK
NA19456	10	LWK
NA19457	11	LWK
NA19461	12	LWK
NA19462	14	LWK
NA19463	13	LWK
NA19466	12	LWK
NA19467	13	LWK
NA19468	10	LWK
NA19469	0	LWK
NA19470	0	LWK
NA19471	7	LWK
NA19472	13	LWK
NA19473	0	LWK
NA19474	0	LWK
NA19475	10	LWK
NA19017	10	LWK
HG03052	13	MSL
HG03053	0	MSL
HG03054	12	MSL
HG03055	13	MSL
HG03056	0	MSL
HG03057	13	MSL
HG03058	9	MSL
HG03059	0	MSL
HG03060	12	MSL
HG03061	9	MSL
HG03062	0	MSL
HG03063	11	MSL
HG03064	11	MSL
HG03065	0	MSL
HG03066	10	MSL
HG03069	10	MSL
HG03072	10	MSL
HG03073	14	MSL
HG03074	10	MSL
HG03076	0	MSL
HG03077	11	MSL
HG03078	11	MSL
HG03079	10	MSL
HG03080	0	MSL
HG03081	11	MSL
HG03082	12	MSL
HG03084	10	MSL
HG03085	13	MSL
HG03086	11	MSL
HG03088	12	MSL
HG03091	9	MSL
HG03095	11	MSL
HG03096	9	MSL
HG03097	10	MSL
HG03098	0	MSL
HG03209	10	MSL
HG03212	11	MSL
HG03224	8	MSL
HG03225	7	MSL
HG03376	10	MSL
HG03378	0	MSL
HG03380	10	MSL
HG03381	0	MSL
HG03382	12	MSL
HG03383	0	MSL
HG03384	0	MSL
HG03385	13	MSL
HG03388	13	MSL
HG03390	0	MSL
HG03391	8	MSL
HG03393	0	MSL
HG03394	10	MSL
HG03397	12	MSL
HG03398	0	MSL
HG03399	0	MSL
HG03401	12	MSL
HG03402	0	MSL
HG03408	0	MSL
HG03410	10	MSL
HG03411	0	MSL
HG03419	11	MSL
HG03428	11	MSL
HG03431	0	MSL
HG03432	10	MSL
HG03433	9	MSL
HG03436	11	MSL
HG03437	9	MSL
HG03438	0	MSL
HG03439	12	MSL
HG03442	8	MSL
HG03445	13	MSL
HG03446	11	MSL
HG03449	11	MSL
HG03450	0	MSL
HG03451	12	MSL
HG03452	11	MSL
HG03453	0	MSL
HG03454	0	MSL
HG03455	13	MSL
HG03456	0	MSL
HG03457	10	MSL
HG03458	11	MSL
HG03459	0	MSL
HG03460	10	MSL
HG03461	12	MSL
HG03462	0	MSL
HG03464	11	MSL
HG03465	0	MSL
HG03466	0	MSL
HG03468	0	MSL
HG03469	13	MSL
HG03470	12	MSL
HG03471	0	MSL
HG03472	12	MSL
HG03473	11	MSL
HG03474	0	MSL
HG03476	14	MSL
HG03477	0	MSL
HG03478	13	MSL
HG03479	12	MSL
HG03480	0	MSL
HG03484	12	MSL
HG03485	12	MSL
HG03486	0	MSL
